,artistName
0,Lizzo
1,J Boog
2,Common Kings
3,Sammielz
4,Spawnbreezie
5,Michael Franti & Spearhead
6,Johnny Suite
7,Eddy Dyno
8,Kelandy
9,SOJA
10,Kolohe Kai
11,Fia
12,Israel Kamakawiwo'ole
13,Victor J Sefo
14,QUE.
15,G-Eazy
16,Shy Glizzy
17,Jay Rock
18,Kendrick Lamar
19,Nicki Minaj
20,Maejor
21,Rae Sremmurd
22,Bhad Bhabie
23,Tedashii
24,Big Sean
25,Migos
26,Rich The Kid
27,A$AP Ferg
28,Flau'jae
29,Kash Juliano
30,Ayo & Teo
31,Eminem
32,2 Crucial
33,Jazz Cartier
34,GoldLink
35,Ne-Yo
36,J.I the Prince of N.Y
37,Snoop Dogg
38,Lil Skies
39,Lecrae
40,ScHoolboy Q
41,Jvcki Wai
42,Yung Derrick
43,Meek Mill
44,Flipp Dinero
45,Tyga
46,French Montana
47,Fat Joe
48,SOB X RBE
49,Gucci Mane
50,Rayven Justice
51,Jutes
52,Andy Mineo
53,Soulja Boy
54,Famous Dex
55,Sheck Wes
56,Five For Fighting
57,Kanye West
58,Imagine Dragons
59,OneRepublic
60,Kygo
61,Cold War Kids
62,Jeremy Zucker
63,Young Rising Sons
64,King Harvest
65,Logic
66,Michl
67,U2
68,The Killers
69,James Vincent McMorrow
70,Bryce Vine
71,Natalie Cole
72,Rooney
73,Skizzy Mars
74,Natasha Bedingfield
75,SHAED
76,Daryl Hall & John Oates
77,Vory
78,Cardi B
79,21 Savage
80,Coldplay
81,Train
82,EMAN8
83,Counting Crows
84,Bryan J
85,Feist
86,Mat Kearney
87,Wet
88,Jason Mraz
89,Colbie Caillat
90,The Score
91,Ivy Adara
92,Mariah Carey
93,Seinabo Sey
94,Lil Yachty
95,Social House
96,Halsey
97,Post Malone
98,Demi Lovato
99,Kris Allen
100,mansionz
101,Andra Day
102,A R I Z O N A
103,YG
104,Derek Minor
105,Aerosmith
106,John Legend
107,Kat Dahlia
108,Maggie Lindemann
109,Kevin Michael
110,Keith Urban
111,MAX
112,Lady Gaga
113,Elle King
114,Sean Kingston
115,Bazzi
116,Gemma Hayes
117,Gavin James
118,Sam Smith
119,benny blanco
120,Katy Perry
121,Macklemore
122,Taylor Swift
123,Bruno Mars
124,Kesha
125,Britney Spears
126,Selena Gomez
127,P!nk
128,Gavin DeGraw
129,Michael Bublé
130,Andy Grammer
131,Chris Jeday
132,Stefflon Don
133,Abraham Mateo
134,Anitta
135,Chino & Nacho
136,Carlos Vives
137,Pitbull
138,Miguel
139,Camila Cabello
140,Shakira
141,Ozuna
142,Maluma
143,Luis Ángel Gómez Jaramillo
144,Enrique Iglesias
145,Mau y Ricky
146,Nicky Jam
147,Destiny's Child
148,Monica
149,Brandy
150,Fugees
151,Blu Cantrell
152,TLC
153,Missy Elliott
154,702
155,Fall Out Boy
156,My Chemical Romance
157,The All-American Rejects
158,Juicy J
159,Future
160,mike.
161,Bankroll Fresh
162,Jaden
163,Yo Gotti
164,Mac Miller
165,Life of Dillon
166,Marc E. Bassy
167,Snakehips
168,Edward Sharpe & The Magnetic Zeros
169,fun.
170,NF
171,B.o.B
172,Bad Meets Evil
173,Russ
174,Corinne Bailey Rae
175,Atomic Kitten
176,Huey Lewis & The News
177,Tony Bennett
178,The Monkees
179,Harry Chapin
180,The Drifters
181,The Human League
182,Tiffany
183,Pilot
184,Dion
185,Quinn XCII
186,Ruel
187,Sweater Beats
188,Frank Ocean
189,Donnie Trumpet & The Social Experiment
190,Surfaces
191,Jon Bellion
192,Khalid
193,Samm Henshaw
194,KYLE
195,Christian French
196,Imad Royal
197,Mapei
198,RL Grime
199,blackbear
200,Charlie Heat
201,Huey Mack
202,Dan Caplen
203,Johnny Balik
204,SAYGRACE
205,Rudimental
206,Sam Lachow
207,Next
208,Young Money
209,Kardinal Offishall
210,Macklemore & Ryan Lewis
211,Noah Cyrus
212,Kid Quill
213,Mike WiLL Made-It
214,DeStorm Power
215,Adele
216,Rihanna
217,Drake
218,Juke Ross
219,Sia
220,50 Cent
221,Akon
222,Deetranada
223,Chris Brown
224,Beyoncé
225,Marian Hill
226,Matt Simons
227,Jeremih
228,2 Chainz
229,DJ Khaled
230,Skrillex
231,Cher Lloyd
232,Wiz Khalifa
233,Shawn Mendes
234,Lost Kings
235,Jake Miller
236,5 Seconds of Summer
237,Cody Simpson
238,Get Scared
239,Calvin Harris
240,Artist Vs Poet
241,Troy
242,Lukas Graham
243,Maren Morris
244,Sammy Adams
245,Ariana Grande
246,ILOVEMAKONNEN
247,CNCO
248,Jason Schwartzman
249,Pink Sweat$
250,Alan Walker
251,Andy Williams
252,Jordan Hush
253,Lauv
254,We Are Toonz
255,Jennifer Lopez
256,Hozier
257,Carolina Liar
258,Freya Ridings
259,Jack & Jack
260,Harry Styles
261,Maroon 5
262,Ice Cube
263,Clean Bandit
264,Max Frost
265,Mumford & Sons
266,Band of Horses
267,Young the Giant
268,Cage The Elephant
269,Judah & the Lion
270,Florence + The Machine
271,Matt and Kim
272,Lil Wayne
273,Jay Sean
274,KB
275,Machine Gun Kelly
276,PnB Rock
277,Zauntee
278,Dr. Dre
279,Trip Lee
280,Josh A
281,The Rolling Stones
282,Black Eyed Peas
283,Jonas Brothers
284,Petit Biscuit
285,DJ Snake
286,Norah Jones
287,Gabriella Whited
288,Haux
289,Jaymes Young
290,Billy Joel
291,Orianthi
292,Neon Trees
293,Shawn Desman
294,Jason Derulo
295,Usher
296,Plain White T's
297,Mike Posner
298,Kodaline
299,The Head and the Heart
300,Grouplove
301,Coleman Hell
302,BØRNS
303,Vance Joy
