endTime,artistName,trackName,msPlayed
2019-11-19 04:22,Lukas Graham,Happy Home,139695
2019-11-19 04:22,CNCO,Se Vuelve Loca - Spanglish Version,1600
2019-11-19 04:24,Alan Walker,Tired - Kygo Remix,920
2019-11-19 04:24,Khalid,Right Back (feat. A Boogie Wit Da Hoodie),740
2019-11-19 04:24,We Are Toonz,Lit Up!,830
2019-11-19 04:24,Andy Williams,The Impossible Dream (The Quest),1060
2019-11-19 04:24,Britney Spears,Pretty Girls,1000
2019-11-19 04:24,Gavin James,Tired,88550
2019-11-19 04:24,Jordan Hush,Leave Me Alone,1550
2019-11-19 04:24,NF,Time - Edit,1140
2019-11-19 04:24,Alessia Cara,I'm Like A Bird - Recorded at Spotify Studios NYC,1040
2019-11-19 04:24,James Arthur,Say You Won't Let Go,1010
2019-11-19 04:24,Grits,Ooh Ahh (My Life Be Like) (feat. Toby Mac),1980
2019-11-19 04:24,David Guetta,Memories (feat. Kid Cudi),730
2019-11-19 04:24,Train,If It's Love,5540
2019-11-19 04:24,Frank Sinatra,The Impossible Dream (The Quest),850
2019-11-19 04:24,Lauv,Breathe,900
2019-11-19 04:27,Andy Grammer,Some Girl,151741
2019-11-19 04:29,Haley Reinhart,Can't Help Falling in Love,173174
2019-11-19 04:30,Phillip Phillips,"Gone, Gone, Gone",640
2019-11-19 04:30,Alan Walker,Faded,1000
2019-11-19 04:30,Adele,Million Years Ago,670
2019-11-19 04:30,Tim McGraw,Humble And Kind,48943
2019-11-19 04:30,Dave Matthews Band,The Space Between,810
2019-11-19 04:34,Adele,Million Years Ago,227066
2019-11-19 04:35,Dave Matthews Band,The Space Between,69073
2019-11-19 04:36,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,5210
2019-11-19 04:38,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,1870
2019-11-19 04:38,Aminé,Caroline,1270
2019-11-19 04:38,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",148510
2019-11-19 04:38,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",370
2019-11-19 04:42,Dave Matthews Band,The Space Between,242000
2019-11-19 04:45,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,180560
2019-11-19 04:49,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",250266
2019-11-19 04:53,Aminé,Caroline,209640
2019-11-19 04:54,Adele,Skyfall,63353
2019-11-19 04:58,Bea Miller,song like you,980
2019-11-19 04:58,Saeed,Love Me Again - The Four Performance,11715
2019-11-19 04:58,Zhavia Ward,Say Something - The Four Performance,228784
2019-11-19 04:58,Leah Jenea,Call Out My Name - The Four Performance,1350
2019-11-19 05:01,Leah Jenea,Call Out My Name - The Four Performance,193711
2019-11-19 05:04,Bea Miller,song like you,196400
2019-11-19 05:08,Kygo,Remind Me to Forget,217286
2019-11-19 05:11,AJ Mitchell,All My Friends,172787
2019-11-19 05:15,Mariah Carey,All I Want for Christmas Is You,241106
2019-11-19 05:30,Mariah Carey,All I Want for Christmas Is You,930
2019-11-19 05:30,MattyB,Goliath,1230
2019-11-19 05:30,MattyB,Goliath,122957
2019-11-19 05:33,Loud Luxury,Body,158979
2019-11-19 05:35,Daniel Skye,We Got Us,177831
2019-11-19 05:39,Miley Cyrus,Mother's Daughter,219080
2019-11-19 05:42,Loud Luxury,Body,1290
2019-11-19 05:42,Swedish House Mafia,Don't You Worry Child - Radio Edit,181929
2019-11-19 05:46,Alessia Cara,Here - 2:00 AM Version,225973
2019-11-19 05:50,Ruth B.,Slow Fade,211613
2019-11-19 05:52,Andy Grammer,Some Girl,175642
2019-11-19 05:56,Julie Andrews,"Feed The Birds (Tuppence A Bag) - From ""Mary Poppins""/Soundtrack Version",231040
2019-11-19 05:59,Andy Grammer,Keep Your Head Up,189933
2019-11-19 06:02,Dick Van Dyke,"Chim Chim Cher-ee - From ""Mary Poppins""/Soundtrack Version",166600
2019-11-19 06:08,Dick Van Dyke,"Jolly Holiday - From ""Mary Poppins""/Soundtrack Version",324200
2019-11-19 06:11,Future,Realer N Realer,170920
2019-11-19 06:15,Future,Real and True (feat. Mr Hudson),247893
2019-11-19 06:17,D Smoke,Last Supper,131842
2019-11-19 06:20,Future,Mink Flow,178786
2019-11-19 06:20,Tyga,MAMACITA,21595
2019-11-19 06:21,Andy Grammer,Some Girl,760
2019-11-19 06:21,Miguel,Sky Walker (feat. Travis Scott),18930
2019-11-19 06:21,Future,Real and True (feat. Mr Hudson),820
2019-11-19 06:21,Jhené Aiko,Stay Ready (What A Life),1200
2019-11-19 06:24,Teyana Taylor,Rose In Harlem,222828
2019-11-19 06:28,Chance the Rapper,GRoCERIES,226845
2019-11-19 06:30,Londynn B,I Can't Change,130795
2019-11-19 06:30,D Smoke,Let Migo,2540
2019-11-19 06:32,A Boogie Wit da Hoodie,Mood Swings,83490
2019-11-19 06:33,The Internet,Get Away,1520
2019-11-19 06:33,Kodak Black,Zombie (feat. NLE Choppa & DB Omerta),2400
2019-11-19 06:33,Post Malone,Enemies (feat. DaBaby),2000
2019-11-19 06:33,Tyla Yaweh,I Think I Luv Her (feat. YG),87870
2019-11-19 06:36,The Internet,Get Away,3860
2019-11-19 06:36,Yungeen Ace,Spinnin,4040
2019-11-19 06:36,Kodak Black,Zombie (feat. NLE Choppa & DB Omerta),3640
2019-11-19 06:36,Post Malone,Enemies (feat. DaBaby),1200
2019-11-19 06:36,Yungeen Ace,Jungle,159230
2019-11-19 06:37,Becky G,Sin Pijama,53100
2019-11-19 06:38,AJR,Netflix Trip,82530
2019-11-19 06:39,Lil Wayne,Uproar,10220
2019-11-19 06:39,Lil Wayne,Uproar,990
2019-11-19 06:39,AJR,Sober Up (feat. Rivers Cuomo),7930
2019-11-19 06:39,Jeremih,oui,640
2019-11-19 06:39,Jordan Fisher,All About Us,980
2019-11-19 06:40,Miley Cyrus,Adore You,1190
2019-11-19 06:40,Kat Dahlia,I Think I'm In Love,1010
