,endTime,artistName,trackName,msPlayed,dayOfWeek,skipOrPlay,artistGenre
0,2019-09-19 02:47,Lizzo,Cuz I Love You,33188,3,Play,dance pop
1,2019-09-26 08:01,Lizzo,Water Me,1980,3,Skip,dance pop
2,2019-09-26 08:01,Lizzo,Good as Hell,4130,3,Skip,dance pop
3,2019-09-29 22:24,Lizzo,Truth Hurts,10460,6,Play,dance pop
4,2019-09-29 22:31,Lizzo,Truth Hurts,41960,6,Play,dance pop
5,2019-09-30 19:22,Lizzo,Truth Hurts,122480,0,Play,dance pop
6,2019-10-03 18:32,Lizzo,Juice,1450,3,Skip,dance pop
7,2019-10-08 18:15,Lizzo,Truth Hurts,43946,1,Play,dance pop
8,2019-10-12 06:15,Lizzo,Cuz I Love You,10500,5,Play,dance pop
9,2019-10-15 07:06,Lizzo,Water Me,10030,1,Play,dance pop
10,2019-10-15 07:10,Lizzo,Good as Hell,105811,1,Play,dance pop
11,2019-10-15 07:10,Lizzo,Water Me,1690,1,Skip,dance pop
12,2019-10-15 18:20,Lizzo,Truth Hurts,9870,1,Skip,dance pop
13,2019-10-15 18:21,Lizzo,Truth Hurts,45830,1,Play,dance pop
14,2019-10-15 18:52,Lizzo,Cuz I Love You,88970,1,Play,dance pop
15,2019-10-16 05:25,Lizzo,Truth Hurts,38440,2,Play,dance pop
16,2019-10-21 18:49,Lizzo,Truth Hurts,75650,0,Play,dance pop
17,2019-10-21 18:52,Lizzo,Truth Hurts,73050,0,Play,dance pop
18,2019-10-22 22:30,Lizzo,Water Me,36750,1,Play,dance pop
19,2019-10-22 22:34,Lizzo,Good as Hell,23960,1,Play,dance pop
20,2019-10-22 23:31,Lizzo,Good as Hell,145520,1,Play,dance pop
21,2019-10-23 00:43,Lizzo,Water Me,185594,2,Play,dance pop
22,2019-10-23 22:04,Lizzo,Truth Hurts,14310,2,Play,dance pop
23,2019-10-23 22:11,Lizzo,Cuz I Love You,20560,2,Play,dance pop
24,2019-10-25 22:31,Lizzo,Truth Hurts,11880,4,Play,dance pop
25,2019-10-25 22:33,Lizzo,Juice,950,4,Skip,dance pop
26,2019-10-28 06:37,Lizzo,Good as Hell (feat. Ariana Grande) - Remix,9877,0,Skip,dance pop
27,2019-10-28 19:13,Lizzo,Truth Hurts,125653,0,Play,dance pop
28,2019-10-28 21:28,Lizzo,Juice,103701,0,Play,dance pop
29,2019-10-31 05:36,Lizzo,Good as Hell,12842,3,Play,dance pop
30,2019-10-31 22:46,Lizzo,Juice,142550,3,Play,dance pop
31,2019-11-01 01:30,Lizzo,Good as Hell,3930,4,Skip,dance pop
32,2019-11-01 01:31,Lizzo,Water Me,34020,4,Play,dance pop
33,2019-11-01 17:15,Lizzo,Good as Hell,159735,4,Play,dance pop
34,2019-11-01 17:32,Lizzo,Water Me,185594,4,Play,dance pop
35,2019-11-04 02:11,Lizzo,Truth Hurts,69270,0,Play,dance pop
36,2019-11-04 05:47,Lizzo,Good as Hell,68060,0,Play,dance pop
37,2019-11-04 06:08,Lizzo,Good as Hell,46950,0,Play,dance pop
38,2019-11-04 17:44,Lizzo,Good as Hell,79740,0,Play,dance pop
39,2019-11-05 09:08,Lizzo,Good as Hell,1800,1,Skip,dance pop
40,2019-11-05 16:07,Lizzo,Water Me,185594,1,Play,dance pop
41,2019-11-05 17:14,Lizzo,Water Me,15640,1,Play,dance pop
42,2019-11-05 17:17,Lizzo,Good as Hell,19790,1,Play,dance pop
43,2019-11-05 17:23,Lizzo,Water Me,78820,1,Play,dance pop
44,2019-11-05 18:44,Lizzo,Good as Hell,79516,1,Play,dance pop
45,2019-11-08 09:59,Lizzo,Good as Hell,1760,4,Skip,dance pop
46,2019-11-08 10:01,Lizzo,Water Me,86430,4,Play,dance pop
47,2019-11-11 03:21,Lizzo,Good as Hell (feat. Ariana Grande) - Remix,6930,0,Skip,dance pop
48,2019-11-11 03:23,Lizzo,Good as Hell (feat. Ariana Grande) - Remix,1290,0,Skip,dance pop
49,2019-11-12 19:09,Lizzo,Truth Hurts,10688,1,Play,dance pop
50,2019-11-12 21:42,Lizzo,Water Me,171746,1,Play,dance pop
51,2019-11-12 21:46,Lizzo,Water Me,20266,1,Play,dance pop
52,2019-11-12 22:53,Lizzo,Good as Hell,101056,1,Play,dance pop
53,2019-11-12 22:53,Lizzo,Water Me,3008,1,Skip,dance pop
54,2019-11-13 20:54,Lizzo,Cuz I Love You,0,2,Skip,dance pop
55,2019-11-17 08:09,Lizzo,Good as Hell,5560,6,Skip,dance pop
56,2019-09-19 02:48,J Boog,Waiting On The Rain,25450,3,Play,jawaiian
57,2019-09-19 02:49,J Boog,See Her Again,1386,3,Skip,jawaiian
58,2019-09-19 06:00,J Boog,Let's Do It Again,9260,3,Skip,jawaiian
59,2019-09-19 06:03,J Boog,Waiting On The Rain,159060,3,Play,jawaiian
60,2019-09-19 06:08,J Boog,See Her Again,152390,3,Play,jawaiian
61,2019-09-19 17:53,J Boog,See Her Again,6550,3,Skip,jawaiian
62,2019-09-19 17:53,J Boog,Waiting On The Rain,3600,3,Skip,jawaiian
63,2019-09-20 01:23,J Boog,Waiting On The Rain,4360,4,Skip,jawaiian
64,2019-09-20 19:54,J Boog,Waiting On The Rain,3470,4,Skip,jawaiian
65,2019-09-23 02:51,J Boog,Let's Do It Again,73769,0,Play,jawaiian
66,2019-09-23 21:01,J Boog,Waiting On The Rain,178430,0,Play,jawaiian
67,2019-09-24 01:40,J Boog,See Her Again,3660,1,Skip,jawaiian
68,2019-09-24 18:00,J Boog,Waiting On The Rain,550,1,Skip,jawaiian
69,2019-09-25 18:51,J Boog,Let's Do It Again,4510,2,Skip,jawaiian
70,2019-09-25 18:52,J Boog,See Her Again,4910,2,Skip,jawaiian
71,2019-09-25 18:52,J Boog,Let's Do It Again,1040,2,Skip,jawaiian
72,2019-09-25 20:08,J Boog,Waiting On The Rain,169611,2,Play,jawaiian
73,2019-09-25 21:09,J Boog,See Her Again,104120,2,Play,jawaiian
74,2019-09-25 21:10,J Boog,Let's Do It Again,19530,2,Play,jawaiian
75,2019-09-25 21:25,J Boog,See Her Again,8540,2,Skip,jawaiian
76,2019-09-25 21:25,J Boog,Waiting On The Rain,100460,2,Play,jawaiian
77,2019-09-25 23:03,J Boog,See Her Again,189677,2,Play,jawaiian
78,2019-09-25 23:21,J Boog,Waiting On The Rain,207573,2,Play,jawaiian
79,2019-09-25 23:40,J Boog,Let's Do It Again,192177,2,Play,jawaiian
80,2019-09-27 16:57,J Boog,Waiting On The Rain,87020,4,Play,jawaiian
81,2019-09-27 21:24,J Boog,Waiting On The Rain,720,4,Skip,jawaiian
82,2019-09-29 22:12,J Boog,Waiting On The Rain,750,6,Skip,jawaiian
83,2019-09-29 23:37,J Boog,Waiting On The Rain,77802,6,Play,jawaiian
84,2019-10-01 18:05,J Boog,Waiting On The Rain,2490,1,Skip,jawaiian
85,2019-10-01 18:08,J Boog,See Her Again,17080,1,Play,jawaiian
86,2019-10-01 18:08,J Boog,Let's Do It Again,22510,1,Play,jawaiian
87,2019-10-07 01:51,J Boog,See Her Again,15210,0,Play,jawaiian
88,2019-10-07 01:51,J Boog,Let's Do It Again,48661,0,Play,jawaiian
89,2019-10-07 02:02,J Boog,Ganja Farmer,1109,0,Skip,jawaiian
90,2019-10-08 15:55,J Boog,Waiting On The Rain,7722,1,Skip,jawaiian
91,2019-10-08 16:00,J Boog,Let's Do It Again,8789,1,Skip,jawaiian
92,2019-10-08 16:05,J Boog,See Her Again,9727,1,Skip,jawaiian
93,2019-10-08 16:05,J Boog,Waiting On The Rain,6336,1,Skip,jawaiian
94,2019-10-08 16:05,J Boog,Waiting On The Rain,3221,1,Skip,jawaiian
95,2019-10-08 16:05,J Boog,Let's Do It Again,40917,1,Play,jawaiian
96,2019-10-08 17:41,J Boog,Waiting On The Rain,8789,1,Skip,jawaiian
97,2019-10-08 17:41,J Boog,Let's Do It Again,597,1,Skip,jawaiian
98,2019-10-08 17:44,J Boog,See Her Again,189677,1,Play,jawaiian
99,2019-10-08 17:59,J Boog,Waiting On The Rain,1621,1,Skip,jawaiian
100,2019-10-08 18:00,J Boog,Let's Do It Again,65258,1,Play,jawaiian
101,2019-10-08 22:55,J Boog,See Her Again,1109,1,Skip,jawaiian
102,2019-10-08 22:55,J Boog,Waiting On The Rain,853,1,Skip,jawaiian
103,2019-10-08 22:55,J Boog,Let's Do It Again,575,1,Skip,jawaiian
104,2019-10-10 05:52,J Boog,Sunshine Girl,41099,3,Play,jawaiian
105,2019-10-10 16:21,J Boog,Waiting On The Rain,73770,3,Play,jawaiian
106,2019-10-10 16:37,J Boog,Let's Do It Again,73045,3,Play,jawaiian
107,2019-10-10 17:42,J Boog,See Her Again,5120,3,Skip,jawaiian
108,2019-10-11 06:02,J Boog,Waiting On The Rain,11221,4,Play,jawaiian
109,2019-10-15 23:34,J Boog,Waiting On The Rain,166902,1,Play,jawaiian
110,2019-10-15 23:37,J Boog,See Her Again,4730,1,Skip,jawaiian
111,2019-10-15 23:37,J Boog,Let's Do It Again,180867,1,Play,jawaiian
112,2019-10-15 23:43,J Boog,Waiting On The Rain,136120,1,Play,jawaiian
113,2019-10-15 23:43,J Boog,Let's Do It Again,8500,1,Skip,jawaiian
114,2019-10-15 23:45,J Boog,See Her Again,111660,1,Play,jawaiian
115,2019-10-16 20:24,J Boog,Waiting On The Rain,3740,2,Skip,jawaiian
116,2019-10-16 20:25,J Boog,Let's Do It Again,7000,2,Skip,jawaiian
117,2019-10-17 15:17,J Boog,Waiting On The Rain,4090,3,Skip,jawaiian
118,2019-10-22 20:35,J Boog,See Her Again,874,1,Skip,jawaiian
119,2019-10-22 20:37,J Boog,Let's Do It Again,896,1,Skip,jawaiian
120,2019-10-25 13:32,J Boog,Let's Do It Again,9400,4,Skip,jawaiian
121,2019-10-25 22:26,J Boog,See Her Again,1260,4,Skip,jawaiian
122,2019-10-25 22:26,J Boog,Waiting On The Rain,1100,4,Skip,jawaiian
123,2019-10-26 00:57,J Boog,See Her Again,2060,5,Skip,jawaiian
124,2019-10-26 00:57,J Boog,Waiting On The Rain,4190,5,Skip,jawaiian
125,2019-10-26 00:57,J Boog,Let's Do It Again,3430,5,Skip,jawaiian
126,2019-10-28 00:57,J Boog,See Her Again,4757,0,Skip,jawaiian
127,2019-10-28 06:35,J Boog,Waiting On The Rain,1514,0,Skip,jawaiian
128,2019-10-28 06:35,J Boog,Let's Do It Again,24000,0,Play,jawaiian
129,2019-10-30 21:51,J Boog,Waiting On The Rain,1010,2,Skip,jawaiian
130,2019-10-31 05:54,J Boog,Waiting On The Rain,13525,3,Play,jawaiian
131,2019-10-31 05:55,J Boog,See Her Again,29653,3,Play,jawaiian
132,2019-10-31 05:55,J Boog,Waiting On The Rain,3466,3,Skip,jawaiian
133,2019-10-31 07:55,J Boog,Waiting On The Rain,21260,3,Play,jawaiian
134,2019-10-31 17:42,J Boog,Waiting On The Rain,4630,3,Skip,jawaiian
135,2019-10-31 22:55,J Boog,See Her Again,1100,3,Skip,jawaiian
136,2019-10-31 22:55,J Boog,Waiting On The Rain,11640,3,Play,jawaiian
137,2019-10-31 22:55,J Boog,Let's Do It Again,39080,3,Play,jawaiian
138,2019-11-03 02:34,J Boog,Waiting On The Rain,14660,6,Play,jawaiian
139,2019-11-05 19:26,J Boog,Let's Do It Again,3100,1,Skip,jawaiian
140,2019-11-05 19:26,J Boog,Let's Do It Again,810,1,Skip,jawaiian
141,2019-11-07 06:36,J Boog,Waiting On The Rain,2100,3,Skip,jawaiian
142,2019-11-10 19:11,J Boog,Waiting On The Rain,1000,6,Skip,jawaiian
143,2019-11-11 20:08,J Boog,Waiting On The Rain,142350,0,Play,jawaiian
