,artistName,artistGenre
0,Lizzo,pop
1,J Boog,haiwaiian
2,Common Kings,haiwaiian
3,Sammielz,haiwaiian
4,Spawnbreezie,haiwaiian
5,Michael Franti & Spearhead,hiphop
6,Johnny Suite,haiwaiian
7,Eddy Dyno,haiwaiian
8,Kelandy,reggae
9,SOJA,reggae
10,Kolohe Kai,haiwaiian
11,Fia,hawaiian
12,Israel Kamakawiwo'ole,hawaiian
13,Victor J Sefo,r&b
14,QUE.,hiphop
15,G-Eazy,rap
16,Shy Glizzy,rap
17,Jay Rock,hiphop
18,Kendrick Lamar,rap
19,Nicki Minaj,rap
20,Maejor,r&b
21,Rae Sremmurd,hiphop
22,Bhad Bhabie,rap
23,Tedashii,rap
24,Big Sean,rap
25,Migos,rap
26,Rich The Kid,rap
27,A$AP Ferg,rap
28,Flau'jae,rap
29,Kash Juliano,hiphop
30,Ayo & Teo,hiphop
31,Eminem,rap
32,2 Crucial,rap
33,Jazz Cartier,hiphop
34,GoldLink,hiphop
35,Ne-Yo,r&b
36,J.I the Prince of N.Y,rap
37,Snoop Dogg,rap
38,Lil Skies,rap
39,Lecrae,hiphop
40,ScHoolboy Q,rap
41,Jvcki Wai,hiphop
42,Yung Derrick,rap
43,Meek Mill,rap
44,Flipp Dinero,rap
45,Tyga,rap
46,French Montana,rap
47,Fat Joe,hiphop
48,SOB X RBE,rap
49,Gucci Mane,rap
50,Rayven Justice,hiphop
51,Jutes,hiphop
52,Andy Mineo,hiphop
53,Soulja Boy,rap
54,Famous Dex,hiphop
55,Sheck Wes,hiphop
56,Five For Fighting,rock
57,Kanye West,rap
58,Imagine Dragons,rock
59,OneRepublic,rock
60,Kygo,edm
61,Cold War Kids,rock
62,Jeremy Zucker,pop
63,Young Rising Sons,rock
64,King Harvest,rock
65,Logic,rap
66,Michl,pop
67,U2,rock
68,The Killers,rock
69,James Vincent McMorrow,hiphop
70,Bryce Vine,hiphop
71,Natalie Cole,pop
72,Rooney,rock
73,Skizzy Mars,hiphop
74,Natasha Bedingfield,pop
75,SHAED,pop
76,Daryl Hall & John Oates,rock
77,Vory,hiphop
78,Cardi B,rap
79,21 Savage,rap
80,Coldplay,rock
81,Train,rock
82,EMAN8,pop
83,Counting Crows,rock
84,Bryan J,r&b
85,Feist,pop
86,Mat Kearney,pop
87,Wet,alternative
88,Jason Mraz,soul
89,Colbie Caillat,pop
90,The Score,rock
91,Ivy Adara,pop
92,Mariah Carey,r&b
93,Seinabo Sey,pop
94,Lil Yachty,hiphop
95,Social House,hiphop
96,Halsey,pop
97,Post Malone,hiphop
98,Demi Lovato,pop
99,Kris Allen,rock
100,mansionz,hiphop
101,Andra Day,pop
102,A R I Z O N A,rock
103,YG,rap
104,Derek Minor,rap
105,Aerosmith,rock
106,John Legend,soul
107,Kat Dahlia,pop
108,Maggie Lindemann,pop
109,Kevin Michael,pop
110,Keith Urban,country
111,MAX,pop
112,Lady Gaga,pop
113,Elle King,rock
114,Sean Kingston,pop
115,Bazzi,hiphop
116,Gemma Hayes,pop
117,Gavin James,pop
118,Sam Smith,r&b
119,benny blanco,hiphop
120,Katy Perry,pop
121,Macklemore,rap
122,Taylor Swift,pop
123,Bruno Mars,pop
124,Kesha,pop
125,Britney Spears,pop
126,Selena Gomez,pop
127,P!nk,rock
128,Gavin DeGraw,rock
129,Michael Bublé,jazz
130,Andy Grammer,pop
131,Chris Jeday,reggaeton
132,Stefflon Don,reggaeton
133,Abraham Mateo,pop
134,Anitta,pop
135,Chino & Nacho,pop
136,Carlos Vives,pop
