endTime,artistName,trackName,msPlayed
2019-09-19 02:47,Lizzo,Cuz I Love You,33188
2019-09-19 02:48,J Boog,Waiting On The Rain,25450
2019-09-19 02:48,Common Kings,No Other Love,23082
2019-09-19 02:49,J Boog,See Her Again,1386
2019-09-19 02:49,Sammielz,Let Us Be,2453
2019-09-19 02:49,Spawnbreezie,Oh My Goodness Ft. Big Steve,30784
2019-09-19 02:49,Common Kings,No Other Love,1941
2019-09-19 02:49,Michael Franti & Spearhead,Just to Say I Love You,1173
2019-09-19 02:49,Johnny Suite,Thank You,1088
2019-09-19 02:49,Eddy Dyno,Miss the Girl,7231
2019-09-19 02:50,Kelandy,Party on the Wknd,5525
2019-09-19 02:50,Common Kings,Wade In Your Water,5952
2019-09-19 02:50,Michael Franti & Spearhead,Just to Say I Love You,18858
2019-09-19 02:50,Johnny Suite,Thank You,12245
2019-09-19 02:51,SOJA,I Believe,17237
2019-09-19 05:57,Kolohe Kai,Heartstrings,6620
2019-09-19 05:57,Fia,Love Me,8384
2019-09-19 05:59,Israel Kamakawiwo'ole,Over the Rainbow,1410
2019-09-19 05:59,Eddy Dyno,Miss the Girl,9870
2019-09-19 06:00,Victor J Sefo,Wifey,62450
2019-09-19 06:00,J Boog,Let's Do It Again,9260
2019-09-19 06:03,J Boog,Waiting On The Rain,159060
2019-09-19 06:04,Spawnbreezie,Oh My Goodness Ft. Big Steve,43970
2019-09-19 06:04,Common Kings,Wade In Your Water,57180
2019-09-19 06:05,Kelandy,Party on the Wknd,32760
2019-09-19 06:05,Sammielz,Let Us Be,1340
2019-09-19 06:08,J Boog,See Her Again,152390
2019-09-19 06:08,Fia,Love Me,2630
2019-09-19 06:08,Michael Franti & Spearhead,Just to Say I Love You,4550
2019-09-19 06:08,Johnny Suite,Thank You,1360
2019-09-19 07:02,Kolohe Kai,Heartstrings,118180
2019-09-19 07:04,Common Kings,Wade In Your Water,98328
2019-09-19 07:05,QUE.,Gangsta Bitch,800
2019-09-19 07:05,G-Eazy,1942 (feat. Yo Gotti & YBN Nahmir),61080
2019-09-19 07:06,Shy Glizzy,Get Away,25150
2019-09-19 07:06,Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",38720
2019-09-19 07:09,Kendrick Lamar,m.A.A.d city,186600
2019-09-19 07:09,Nicki Minaj,Feeling Myself,1290
2019-09-19 07:10,Maejor,Lolly,740
2019-09-19 07:12,Rae Sremmurd,Look Alive,1490
2019-09-19 07:12,Bhad Bhabie,These Heaux,136030
2019-09-19 07:12,Tedashii,Riot,940
2019-09-19 07:13,Tedashii,Riot,42280
2019-09-19 07:14,Rae Sremmurd,Look Alive,70990
2019-09-19 07:17,Nicki Minaj,No Frauds,156200
2019-09-19 07:41,Big Sean,Moves,137950
2019-09-19 07:42,Nicki Minaj,No Frauds,1410
2019-09-19 07:42,Migos,Notice Me,53060
2019-09-19 07:42,Rich The Kid,New Freezer (feat. Kendrick Lamar),53920
2019-09-19 07:46,A$AP Ferg,Plain Jane,173600
2019-09-19 09:02,Flau'jae,Why Dey Hatin,92800
2019-09-19 09:03,Kash Juliano,Speedin,6190
2019-09-19 09:07,Ayo & Teo,Rolex,142890
2019-09-19 09:07,Eminem,Shake That,1090
2019-09-19 09:08,Big Sean,Sacrifices,91020
2019-09-19 09:11,2 Crucial,Crucial Life,139740
2019-09-19 09:11,Rae Sremmurd,Black Beatles,34340
2019-09-19 09:13,Jazz Cartier,• Tales,2370
2019-09-19 09:13,Big Sean,I Know,74020
2019-09-19 09:13,GoldLink,Got Friends,1130
2019-09-19 09:13,Ne-Yo,She Knows,1600
2019-09-19 09:13,J.I the Prince of N.Y,You Never Know,1460
2019-09-19 09:14,Snoop Dogg,Smokin' On (feat. Juicy J),920
2019-09-19 09:14,Lil Skies,Nowadays (feat. Landon Cube),97890
2019-09-19 09:14,Lecrae,I'm Turnt,1040
2019-09-19 15:59,Kendrick Lamar,DNA.,45830
2019-09-19 15:59,Eminem,Shake That,2750
2019-09-19 16:00,Kash Juliano,Speedin,77160
2019-09-19 16:00,Migos,Stir Fry,1270
2019-09-19 16:03,Jazz Cartier,• Tales,167889
2019-09-19 16:03,QUE.,OG Bobby Johnson,1360
2019-09-19 16:03,ScHoolboy Q,X (with 2 Chainz & Saudi),21780
2019-09-19 16:03,Kendrick Lamar,Swimming Pools (Drank) - Extended Version,1170
2019-09-19 16:03,Migos,Notice Me,1960
2019-09-19 16:03,A$AP Ferg,New Level (feat. Future),2150
2019-09-19 16:03,Jvcki Wai,Work Out,7700
2019-09-19 16:03,Jvcki Wai,Work Out,640
2019-09-19 16:03,J.I the Prince of N.Y,You Never Know,1210
2019-09-19 16:06,Lil Skies,Nowadays (feat. Landon Cube),167798
2019-09-19 16:08,Yung Derrick,Locked & Loaded,130011
2019-09-19 16:10,Meek Mill,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",3680
2019-09-19 16:10,Flipp Dinero,Leave Me Alone,71720
2019-09-19 16:12,Tyga,Rack City,690
2019-09-19 16:12,French Montana,No Stylist (feat. Drake),134256
2019-09-19 16:12,French Montana,No Stylist (feat. Drake),840
2019-09-19 16:12,Eminem,Shake That,870
2019-09-19 16:12,Rae Sremmurd,No Type,740
2019-09-19 16:15,Kash Juliano,Speedin,154570
2019-09-19 16:15,Fat Joe,All The Way Up (Remix),950
2019-09-19 16:16,SOB X RBE,Paramedic!,73120
